Damp soil
Lateral stripes
Annulated legs
Radiating spokes
white patches
barrier silk
flattened profile
six spines
glossy black
short legs
star abdomen
orb web
lateral spikes
debris lines
sunlit webs
yellow spots
central hub
sclerotized dorsum
posterior spines
garden fences
anterior spines
low shrubs
Trashline web
Spiny setae
Dark carapace
Shrub habitat
Slender legs
Camouflaged hub
Twig anchors
Median stripe
Debris stabilimentum
Dark flanks
Legs appressed
Posterior point
Linear posture
Silvery mottling
Conical abdomen
Marbled pattern
Vertical orb
Small body
Banded legs
Egg-sacs line
Slender body
Trashline web
Leg spines
Shrub habitat
Low vegetation
Prey husk line
Cryptic alignment
Central hub
Debris line
Mottled brown
Small size
White speckles
Legs appressed
Silvery patches
Spiky dorsum
Conical abdomen
Vertical orb
Posterior tubercle
Banded legs
Egg sac chain
Shrub branches
Spiky egg sacs
Sun-exposed
Abdominal tubercles
Leg spines
Opaque silk
Angular abdomen
Lantern sacs
Dense mesh
Mottled brown-gray
Matte abdomen
White folium
Dome sheet
Upper tangle
Tent web
Horizontal hub
Underside resting
Banded legs
Colonial webs
Citrus orchards
Garden shrubs
Scalloped margins
Capture spiral
Knobbed abdomen
Spiny tibiae
Short spinnerets
Central hub
Dark sternum
Mottled brown
Orb web
Grey morph
Radial spokes
Warty dorsum
Ventral spots
Granular cuticle
Signal line
Folium pattern
Hairy carapace
Banded legs
Edge retreat
Bulbous abdomen
No stabilimentum
Orange tan
Spiny legs
Visible spinnerets
Eight eyes
Leaflike folium
Pale band
Orb web
Radial spokes
Tufted claws
Leaf retreat
Head down
Dark mottling
Sticky spiral
Hairy carapace
Night webbing
Edge habitats
Annulated legs
sunlit edges
short legs
orb web
crablike silhouette
red morph
dark tips
black spots
garden shrubs
yellow morph
six spines
tufted radii
glossy dorsum
head-down
white morph
broad abdomen
lateral spines
flattened body
banded legs
sclerotized scutum
dark venter
orb web
red morph
black spots
hexagonal outline
yellow morph
six spines
glossy scute
sclerotized dorsum
spiny abdomen
broad abdomen
lateral spines
posterior spines
anterior spines
small carapace
white dorsum
flattened body
dorsal dimples
banded legs
shrub understory
signal thread
orb web
scalloped margins
white ventrum spots
bridge railings
dark annuli
bulbous abdomen
spiny tibiae
riparian reeds
leaf folium
pale leg rings
pale margin
recurved eye-row
gray-brown
mottled brown
posterior groove
banded legs
silken retreat
median stripe
velvety hairs
Cruciform pattern
Carapace stripe
Translucent joints
Dark folium
Leg spines
Grass stems
Posterior chevrons
Shrub understory
Dark margins
Central hub
Pale dorsum
Dark sternum
Low orb-web
Small size
Linear stabilimentum
Greenish legs
Ovoid abdomen
Banded legs
Sunlit clearings
White flanks
Glossy dorsum
Shaded habitat
Forest understory
Dorsal chevrons
White stripe
Small orbweaver
Central hub
Black edging
Green abdomen
Tapered tip
Translucent legs
Leg spines
Pale carapace
Median stripe
Orb web
Low shrubs
Leaf litter
Annulated legs
Tangle canopy
Greenish hue
Ventral spots
Shrub thickets
Amber legs
Horizontal orb
Elongate abdomen
Central hub
Parallel stripes
Black edging
Translucent joints
Fine setae
Understory shade
Ringed legs
Pale carapace
Smooth dorsum
Dome web
Yellow bands
Black mottling
Reddish legs
Head-down
Pitted texture
Spiny abdomen
Black-tipped spines
Posterolateral spines
Widened posterior
Vertical orb
Conical spines
Dark carapace
Shaded woodland
No stabilimentum
Trail-crossing webs
White dorsum
Banded legs
Bristled legs
Understory webs
radiating spokes
rounded profile
black spots
spot rows
dorsal symmetry
forest understory
vertical orb
central hub
bristled legs
knobbed tubercles
dark carapace
posterior humps
short spines
mitered abdomen
trail-crossing webs
chalky texture
black margins
white dorsum
annulated legs
sticky spiral
Red spine tips
Forest understory
Annulated legs
Yellow dorsum
Dappled shade
Triangular profile
Sclerotized abdomen
Sticky spiral
Posterior apex
Glossy carapace
Lateral spines
Orb web
Black dimples
Arrowhead abdomen
Hub-centered
Shrub-level
Dark cephalothorax
Spiny silhouette
leg annulations
scalloped margins
spiny setae
ventral bars
no stabilimentum
orb web
median stripe
banded legs
velvety hairs
arabesque folium
shrub webs
posterior taper
mottled brown
oval abdomen
vertical web
dusky carapace
leaf retreat
pale flanks
mottled abdomen
folium patch
leaf retreat
bristly spines
pale cross
eight eyes
vertical orb
dark carapace
dorsal chevrons
spinneret cluster
head-down
rusty orange
reddish femora
ventral spots
tan brown
silvery setae
annulated legs
black venter
porch corners
white speckles
White speckling
Reddish-brown
Scalloped pattern
Dark venter
Leg spines
Ventral white spots
Glossy cephalothorax
Eight eyes
Hairy legs
Leaflike folium
Orb web
Dew-beaded silk
Brown carapace
Radial spokes
Porch corners
Orange abdomen
Open hub
Mottled tan
Oval abdomen
Shrub anchors
Banded legs
Shoulder tubercles
Setose legs
Orange legs
Velvety abdomen
Ventral spots
Vertical orb
Paired spots
Abdominal chevrons
Eight eyes
Sticky spiral
No stabilimentum
Scalloped margins
Median band
Banded legs
Glossy carapace
Black venter
Dorsal folium
Spiny legs
Radiating spokes
tibial brushes
orb web
giant female
hub offset
barrier lines
golden silk
forest understory
slender legs
banded joints
spinneret cluster
red venter
white speckles
yellow bands
yellow spots
glossy legs
tiny male
elongate abdomen
leg spines
hairy carapace
head down
signal thread
pale flecks
stout femora
nocturnal orb
lateral spots
mottled dorsum
fence corners
dark carapace
matte texture
spiny tibiae
crevice hiding
oval abdomen
dense radii
under-bark retreat
walnut-brown
folium pattern
flattened body
banded legs
crenulate sides
low silhouette
Black mottling
Transverse body
Dark venter
Short spines
Granular texture
Sclerotized dorsum
Posterior tubercles
Orange patches
Pale dorsal
Central hub
Two spines
Silk tufts
Shrub habitat
Banded legs
Orb web
Triangular spines
Scalloped margin
Disc abdomen
orb web
glossy sheen
red leg joints
elongated abdomen
offset hub
garden shrubs
silvery carapace
long forelegs
golden silk
vertical orb
ventral red
black chelicerae
blue bands
building eaves
leg tufts
yellow abdomen
autumn clusters
banded legs
large span
forest edge
Dwarf males
Dark venter
Elongate abdomen
Silvery carapace
Thick anchors
Tibial tufts
Velvety setae
White speckles
Glossy abdomen
Shrub spans
Orange joints
Barrier web
Long forelegs
Strong radii
Golden silk
Giant orb
Leg banding
Off-center hub
Sunlit edges
Wide spirals
Large female
Tangle barrier
Golden silk
Elongate abdomen
Brush setae
White speckles
Anchor lines
Dark folium
Dark sternum
Sunlit shrubs
Silvery carapace
Tiny male
Yellow joints
Banded legs
Orb web
Long forelegs
Prominent spinnerets
Vertical web
Pale windows
Golden silk
Black legs
Glossy cuticle
Ventral spots
Elongate abdomen
Dorsal fenestrae
Central hub
Shrub gaps
Yellow banding
Extreme dimorphism
Large orbweb
Long forelegs
Sunlit clearings
Tibial tufts
Silver carapace
White setae
Spinneret cluster
Garden fences
Black legs
Elongate abdomen
Communal frames
Silvery carapace
Central hub
Papery egg sac
Orb web
Brush-legged
Glossy abdomen
Yellow banding
Orange joints
Barrier web
Bristly setae
Dorsal folium
Sunlit gaps
Large female
Golden silk
Prey remains
Tiny male
Sparse setae
Dark carapace
Short legs
Maroon dorsum
Garden edges
Hub resting
Broad anterior
Dark margins
Triangular abdomen
Upward facing
Orb web
Low shrubs
Warty tubercles
Posterior point
Velvety cuticle
Woodland understory
Pale triangle
Leg banding
Arrowhead patch
Radiating spokes
frame anchors
spiny legs
signal thread
leaf folium
silvery patches
window corners
ovoid abdomen
frame retreat
brown carapace
annulated legs
crevice hide
hub offset
missing sector
lateral chevrons
urban walls
scalloped edges
mottled beige
asymmetric orb
translucent abdomen
dusky sternum
fine setae
eight eyes
ceiling corners
glossy cuticle
elongate forelegs
dark tarsi
narrow carapace
dark palps
dark chelicerae
pale yellow
oval abdomen
greenish hue
long-legged
faint heartmark
leaf axils
silk sac
ant-mimic silhouette
velvety abdomen
black cephalothorax
cursorial stance
wall surfaces
dorsal white spots
slender build
leaf-litter ground
glossy carapace
orange tibiae
orange forelegs
tree-trunk bark
raised forelegs
small eight eyes
white abdominal bands
dark hindlegs
dark chelicerae
long legs
Dark carapace
Chevron dorsum
Tangle web
Cribellum plate
Hackled band
Grey-brown
Mottled abdomen
Eight eyes
Funnel retreat
Cribellate silk
Crevice corners
Brickwork gaps
Silvery silk
Calamistrum comb
Fuzzy setae
Oval abdomen
Tibial spines
Woolly texture
Window frames
Annulated legs
semicircular eyes
brick-red cephalothorax
long forelegs
under stones
leaf litter
elongate carapace
red legs
glossy carapace
projecting fangs
matte abdomen
small spinnerets
sparse setae
six eyes
bicolored body
oval abdomen
pale abdomen
silk retreat
oversized chelicerae
Bulbous abdomen
Window frame
Unbanded legs
Long clypeus
Slender legs
Forward forelegs
Funnel retreat
Wall crevice
Radiating trip-lines
Cribellate silk
Velvety setae
Dark female
Pale male
Calamistrum comb
Matte cuticle
Tight eye-cluster
Dust-coated web
Woolly web
Elongate carapace
Swollen palps
Gray abdomen
Dark chelicerae
Nocturnal
Visible spinnerets
Reddish legs
Eight eyes
Baseboards
Two eye-rows
Hairy legs
Median stripe
Dark cephalothorax
Leaf litter
Low profile
Velvety hairs
Tapered stripe
Silken retreat
Under bark
Long spinnerets
Glossy carapace
Cravat mark
woodland understory
triangular patch
pale chevrons
clubbed palps
doily sheet
long spinnerets
glossy cephalothorax
silvery spots
tangle canopy
under-bowl posture
dark carapace
faint banding
bowl web
oval abdomen
small size
low shrubs
dew-beaded silk
long legs
Pale margins
Sparse setae
Support threads
Forest understory
White stripe
Short spinnerets
Elongate abdomen
Folium pattern
Slender legs
Posterior patch
Twig anchors
Dome sheet
Dark flanks
Dewy strands
Upside-down
Small size
Annulated legs
Brown carapace
Radiating stripes
Tapered abdomen
Robust chelicerae
Sandy substrate
Dark lateral bands
Mottled grey
Sandy brown
Visible spinnerets
Dry grassland
Bristly legs
High cephalothorax
Chevron blotches
Green eyeshine
Swollen pedipalps
Pale median band
Leg annulations
Long spines
Large median eyes
Cardiac mark
Ground runner
Lateral bands
Eyeshine
Dark venter
Sandy substrate
Robust carapace
Ground hunter
Dark chelicerae
Hairy setae
Back spiderlings
Spiny legs
Dry grass
Median stripe
Leaf litter
Posterior eyes
Dorsal chevrons
Swollen pedipalps
Lanceolate mark
Eye mask
Egg sac
Banded legs
Slender body
Tapered abdomen
Pale dorsal stripe
Dark lateral bands
Translucent legs
Facial setae
Tan mottling
Greenish-yellow
Spiny legs
Striped abdomen
Banded joints
Hexagonal eyes
Grass perches
Sunlit foliage
Large median eyes
Black spines
Glossy carapace
Abdominal chevrons
Long legs
Spinneret tip
Tapered abdomen
Setae tufts
Greenish tint
Translucent legs
Grass stems
Spiny legs
Annulated legs
Median stripe
Large eyes
Triangular face
Sunlit foliage
Eye hexagon
Webless perch
Pale tan
Black spines
Cardiac mark
Striped carapace
Abdominal chevrons
Long legs
eye tubercle
translucent legs
leaf camouflage
white chevrons
slender pedicel
hexagonal eyes
silk dragline
red speckles
pointed spinnerets
flower perches
lateral stripes
black spines
vivid green
leg annulations
spiny legs
splayed legs
glassy cuticle
elongate abdomen
no web
Carapace stripe
Translucent legs
Threadlike legs
Elongate oval
Indoor corners
Tiny carapace
Clubbed palps
Rock crevices
Dark blotches
Dark tarsi
Marbled abdomen
Triad eyes
Knee rings
Irregular tangle
Pale mottling
Elongate spinnerets
Saddle patches
Cheliceral knobs
Banded legs
Upside down
Sparse setae
Irregular web
Mottled abdomen
Threadlike legs
Tiny body
Ocular tubercle
Hanging upside-down
Corner webs
Glossy legs
Slender abdomen
Pale tan
Clustered eyes
Narrow pedicel
Leg annulations
Translucent body
Cylindrical abdomen
Long legs
Small carapace
leg annulations
white margins
tapered abdomen
hydrophobic hairs
posterior eyes
pale pedipalps
robust chelicerae
grayish carapace
spread posture
waterside plants
water-skating
foliate mottling
bark camouflage
leg spines
eye rows
white band
laterigrade legs
green abdomen
Slender body
Shrub foliage
Carried eggsac
Recurved eyes
Pale margins
Spiny legs
Mottled brown
Velvety setae
Narrow carapace
Olive hues
Forward stance
Dorsal chevrons
Wetland reeds
Hydrophobic hairs
Leg annulations
Nursery web
Large laterals
Lateral stripes
Long legs
Robust chelicerae
Recurved eyes
Bark camouflage
Mottled brown
Median stripe
Velvety setae
Pedipalp tufts
Two-row eyes
Chevron abdomen
Annulated tibiae
Hydrophobic hairs
Nursery web
Splayed posture
Egg sac
Cardiac mark
Waterline perching
Striped carapace
Lateral stripes
Banded legs
Long legs
Bark camouflage
Sprawled posture
Dark venter
Long legs
Two rows
Eight eyes
Carapace stripe
Chevron abdomen
Lateral pale bands
Eye shine
Gray brown
Mottled brown
Cardiac mark
Hairy legs
Leg spines
Hydrophobic hairs
Annulated legs
Streamside rocks
Oval abdomen
Leg banding
Two-row eyes
Brown-gray dorsum
Water surface
Splayed stance
Six spots
Lily pads
Marsh edges
Cattail stems
Lateral stripes
Hydrophobic hairs
Silvery air-film
Recurved eyes
Pale margins
Fringed tarsi
Long legs
Submarginal spots
Tapered abdomen
Nuptial gift
Pale median stripe
Brown mottling
Low vegetation
Grassland foliage
Long slender legs
Silk egg sac
Velvety setae
Cheliceral carry
Paired forelegs
Shrub perches
Lanceolate mark
Sunlit hedgerows
Nursery web
V-shaped stance
Striped carapace
Banded legs
Abdominal chevrons
Bulbous palps
Tapered abdomen
Shrub foliage
Grass stems
Slender legs
Spiny legs
Mottled flanks
Dark margins
Eight eyes
Tan carapace
Median band
Velvety setae
Leaflike mark
Outstretched legs
Dark knees
Reddish brown
Cheliceral sac
Nursery tent
Cardiac mark
Glossy carapace
Abdominal chevrons
Compact build
Shaded bark
Short robust legs
Iridescent sheen
Dragline silk
Wall surfaces
Pale dorsal spots
Lateral chevrons
White palpal tufts
Leaf litter
Large frontal eyes
Dense body setae
White clypeal beard
Palpal brushes
Oval abdomen
Metallic chelicerae
Silken retreat
Banded legs
Pedipalp waving
Velvety carapace
Compact body
Dark carapace
Pale lateral bands
Pale clypeus
Flat carapace
Large front eyes
Bristle tufts
Speckled gray
Mottled abdomen
Stubby legs
Brick walls
Dorsal chevrons
Dense setae
Hairy tarsi
Minute size
Camouflage pattern
Banded legs
Vertical surfaces
Window frames
Bulbous palps
Lateral bands
Oval abdomen
Orange-brown carapace
Dark eyefield
Faint chevrons
Scopulate tarsi
Narrow waist
Translucent legs
Sunny foliage
Median stripe
Velvety setae
Iridescent chelicerae
Flat face
Greenish legs
Elongate body
Silk dragline
Furry palps
Large eyes
lateral fringes
pale legs
tufted pedipalps
elongated abdomen
velvety setae
short spinnerets
translucent tibiae
sunlit leaves
dark carapace
lateral stripes
white clypeus
woodland foliage
slender jumper
leaf perch
green chelicerae
huge eyes
banded legs
median stripe
high carapace
bronze sheen
compact build
mottled abdomen
anterior band
velvety setae
high cephalothorax
lateral patches
pale clypeus
bark camouflage
robust forelegs
white moustache
lateral stripes
large AMEs
leaf perches
subtle iridescence
oval abdomen
tufted palps
dark femora
banded legs
Red rump
White palps
High cephalothorax
Brown female
Thick forelegs
White tarsi
Abdominal band
Black male
Short legs
Lateral stripes
Glossy carapace
White clypeus
Green chelicerae
Velvety setae
Window frames
Urban walls
Large eyes
Silk retreat
white palps
velvety setae
dorsal chevrons
mottled abdomen
lateral fringe
elongated forelegs
garden walls
bronze carapace
sunlit perches
banded legs
large eyes
compact body
hairy legs
median stripe
arched carapace
tree bark
leg rings
lateral stripes
White palps
Dark carapace
Flat face
Posterior chevrons
Tan abdomen
Dark tibiae
Short spinnerets
High carapace
Velvety setae
Leaf litter
Elongate forelegs
Sunlit foliage
Dorsal folium
Bark perches
Tarsal scopulae
Large median eyes
Lateral stripes
Banded legs
Pale cheeks
Anterior eyes
Lateral bands
Dark forelegs
Metallic chelicerae
Iridescent scales
Pale palps
Vertical bark
Tan carapace
Foreleg fringes
Sunlit shrubs
Cardiac mark
Velvety setae
White clypeus
Rufous caput
Leafy perches
Wooden fences
Foliate abdomen
Mottled dorsum
Faint chevrons
Scopulate tarsi
Short spinnerets
Low carapace
Ash-grey
Ovate abdomen
Matte cuticle
Stout femora
Bark crevices
Pale flanks
Subtle folium
Velvety setae
Compact pedipalps
Leaf litter
Forward gaze
Annulated legs
Mottled dorsum
Large AME
long chelicerae
magnolia leaves
transparent legs
leaf green
long forelegs
iridescent scales
black tarsi
leaf underside
green camouflage
pale dorsum
slender body
large eyes
wide-set eyes
white setae
white palps
translucent carapace
orange clypeus
spined tibiae
dappled shade
Tree bark
White palps
Mottled tan
Tufted morph
Compact body
Fence posts
Gray morph
Dimorphic males
Velvety black
Facial band
Dense setae
Banded legs
Green chelicerae
Sunlit siding
Flat carapace
Large AMEs
Abdominal chevrons
Triple tufts
Wooden fences
Robust forelegs
Dark chelicerae
Flattened body
Elongate abdomen
Mossy mottling
Hairy body
Bark crevices
Large eyes
Black mask
Tree trunks
Median stripe
Dark chevrons
Iridescent eyes
Flat carapace
White bands
Bulbous palps
Annulated legs
Tufted palps
Carapace stripes
Dorsal chevrons
White moustache
Flattened body
Elongate abdomen
Edge perching
Window crevices
White margins
Wall dwelling
Dark mask
Velvety setae
White clypeus
Banded legs
Sunlit masonry
Dragline silk
Mottled gray
Large AME
Elliptic abdomen
Stone facades
Mottled grey
White clypeus
Dark eye-field
Thick forelegs
Short spinnerets
Sunlit walls
Silvery setae
Eyelash setae
White margins
Flattened carapace
Palpal tufts
Silk retreat
Scopulate tarsi
Dark stripe
Velvety texture
Frontal eyes
Banded legs
Abdominal chevrons
Dark eye field
Dark carapace
Short legs
Pale clypeus
Enlarged palps
Bark camouflage
Mottled abdomen
Dorsal band
Sunlit walls
Dense setae
Crevice habitat
Leg annulations
Rock surfaces
Chevron markings
Oval abdomen
Robust forelegs
Scopulate tarsi
Flattened body
Forward eyes
Lateral stripes
Bark camouflage
Lateral bands
Compact body
Tarsal scopulae
Chevron abdomen
Leaf litter
Lichen bark
Dense setae
Stout legs
Cardiac mark
Palpal tufts
Flattened carapace
Sunlit trunks
Dark chelicerae
Velvety pubescence
Mottled gray
Annulated legs
Large AME
emerald carapace
thick legs
green chelicerae
garden shrubs
iridescent sheen
ovoid abdomen
white sidebands
emerald abdomen
large eyes
compact body
stout forelegs
reflective scales
sunlit foliage
leaf perching
silk retreat
orange setae
velvety hairs
leg fringes
prairie grasses
marginal stripe
rounded abdomen
gray brown
white chevrons
velvety setae
lateral patches
eye rings
white scales
stout forelegs
flower heads
white clypeus
large eyes
annulated tibiae
peppered mottling
compact carapace
metallic chelicerae
leaf litter
banded legs
median band
Tree bark
Oval abdomen
Tufted carapace
Scopulate tarsi
Setal fringe
Forward gaze
Fence posts
Velvety black
Enlarged AME
White pedipalps
White spots
Lateral stripes
Banded legs
White clypeus
Stout build
Dorsal triad
Emerald chelicerae
House siding
White palps
High cephalothorax
Thick forelegs
Metallic chelicerae
Leg banding
Compact body
Goldenrod stems
Huge anterior eyes
Frontal gaze
White leg tufts
Dark folium
Dense setae
Velvet black
Orange abdomen
Median stripe
White side fringe
Green iridescence
Silk retreat
tufted palps
large AME
high cephalothorax
solid-red male
green chelicerae
female stripe
red abdomen
sagebrush stems
banded legs
iridescent mouthparts
silken retreat
stocky build
black carapace
sunny walls
desert scrub
velvety hairs
Black carapace
White palps
Compact body
Sunlit rocks
Stone walls
Dry grassland
Short spinnerets
White moustache
High carapace
Velvety setae
Large eyes
Mediterranean scrub
Female mottling
White margins
Dense pubescence
Red abdomen
Black stripe
Green chelicerae
Robust forelegs
Banded legs
White palps
Shaggy setae
Tree bark
Lateral fringes
Pale midstripe
Cryptic mottling
Gray-brown
Velvety hairs
Green chelicerae
Wavy bands
House siding
Large AME
Mottled tan
Robust forelegs
Short clypeus
Scopulate tarsi
Flattened body
Low carapace
Rock walls
Banded legs
Black carapace
White median
Lateral bands
Steep face
Elongate abdomen
Foreleg fringes
Rectangular carapace
Robust legs
White pedipalps
Median band
Velvety setae
Tree trunks
Brown mottling
Urban walls
Leg annulations
Pale chevrons
Black abdomen
Large AME
velvety
chevron dorsum
brick walls
short spinnerets
window sills
front eyes
dense setae
glossy cuticle
stout forelegs
white mask
fluffy pedipalps
sunlit masonry
zebra stripes
large eyes
compact carapace
oval abdomen
iridescent chelicerae
black-white banding
banded legs
high carapace
large AME
bronze sheen
pale chevrons
black eye-field
leaf surfaces
flattened carapace
glossy cephalothorax
grapevine foliage
reddish-brown
white sidebands
banded legs
robust forelegs
iridescent setae
pale palps
short clypeus
oval abdomen
velvety scales
low profile
bushy clypeus
mottled abdomen
fence posts
tibial spines
short spinnerets
bark camouflage
sunlit walls
compact body
silvery scales
stout forelegs
black mask
flax leaves
pale chevrons
bulging eyes
scopulate pads
golden setae
white sidebands
tufted palps
banded legs
reddish carapace
Bark camouflage
Thick forelegs
White moustache
Compact body
Tarsal scopulae
Chevron abdomen
Orange-brown abdomen
Front eyes
Crouched stance
Pale flanks
Black eye-field
Furry pedipalps
Flattened carapace
Velvety setae
Median stripe
Iridescent chelicerae
House walls
Leg annulations
Dry crevices
Violin marking
Dark carapace
Unbanded legs
Sandy brown
Slender legs
Narrow pedicel
Uniform coloration
Short spinnerets
Cardboard harborage
Spineless legs
Fine setae
Retreat web
Unmarked abdomen
Basement corners
Six eyes
Eye dyads
Bulbous palps
Long legs
Dark eye patch
Leg spines
Broad carapace
Wall corners
Heart mark
Short spinnerets
Mottled brown
Hairy legs
Leaf litter
Speckled pattern
Crablike stance
Chevron abdomen
Climbing walls
Long legspan
Laterigrade legs
Two eye rows
Under bark
Flattened body
Scopula pads
Banded legs
grassy habitat
pale venter
black eye-rims
yellow midline
sunlit undergrowth
leaf camouflage
leaf-green
eight eyes
laterigrade legs
smooth cuticle
long legs
foliage perching
fine setae
low carapace
oval abdomen
sparse spines
crablike stance
flattened body
semi-translucent
matte green
Sandy beige
Pale pedipalps
Translucent legs
Broad carapace
Bark camouflage
Sparse spines
Clinging feet
Stucco walls
Velvety setae
Low profile
Splayed stance
Subtle chevrons
Oval abdomen
Long legspan
Laterigrade legs
Scopulate tarsi
Pale venter
Flattened body
Faint annulations
Lateral eyes
Slender body
Silvery abdomen
Fine radii
Horizontal web
Dark midline
Head-down posture
Low foliage
