Damp soil
Lateral stripes
Annulated legs
Radiating spokes
white patches
barrier silk
flattened profile
six spines
glossy black
short legs
star abdomen
orb web
lateral spikes
debris lines
sunlit webs
yellow spots
central hub
sclerotized dorsum
posterior spines
garden fences
anterior spines
low shrubs
Trashline web
Spiny setae
Dark carapace
Shrub habitat
Slender legs
Camouflaged hub
Twig anchors
Median stripe
Debris stabilimentum
Dark flanks
Legs appressed
Posterior point
Linear posture
Silvery mottling
Conical abdomen
Marbled pattern
Vertical orb
Small body
Banded legs
Egg-sacs line
Slender body
Trashline web
Leg spines
Shrub habitat
Low vegetation
Prey husk line
Cryptic alignment
Central hub
Debris line
Mottled brown
Small size
White speckles
Legs appressed
Silvery patches
Spiky dorsum
Conical abdomen
Vertical orb
Posterior tubercle
Banded legs
Egg sac chain
Shrub branches
Spiky egg sacs
Sun-exposed
Abdominal tubercles
Leg spines
Opaque silk
Angular abdomen
Lantern sacs
Dense mesh
Mottled brown-gray
Matte abdomen
White folium
Dome sheet
Upper tangle
Tent web
Horizontal hub
Underside resting
Banded legs
Colonial webs
Citrus orchards
Garden shrubs
Scalloped margins
Capture spiral
Knobbed abdomen
Spiny tibiae
Short spinnerets
Central hub
Dark sternum
Mottled brown
Orb web
Grey morph
Radial spokes
Warty dorsum
Ventral spots
Granular cuticle
Signal line
Folium pattern
Hairy carapace
Banded legs
Edge retreat
Bulbous abdomen
No stabilimentum
Orange tan
Spiny legs
Visible spinnerets
Eight eyes
Leaflike folium
Pale band
Orb web
Radial spokes
Tufted claws
Leaf retreat
Head down
Dark mottling
Sticky spiral
Hairy carapace
Night webbing
Edge habitats
Annulated legs
sunlit edges
short legs
orb web
crablike silhouette
red morph
dark tips
black spots
garden shrubs
yellow morph
six spines
tufted radii
glossy dorsum
head-down
white morph
broad abdomen
lateral spines
flattened body
banded legs
sclerotized scutum
dark venter
orb web
red morph
black spots
hexagonal outline
yellow morph
six spines
glossy scute
sclerotized dorsum
spiny abdomen
broad abdomen
lateral spines
posterior spines
anterior spines
small carapace
white dorsum
flattened body
dorsal dimples
banded legs
shrub understory
signal thread
orb web
scalloped margins
white ventrum spots
bridge railings
dark annuli
bulbous abdomen
spiny tibiae
riparian reeds
leaf folium
pale leg rings
pale margin
recurved eye-row
gray-brown
mottled brown
posterior groove
banded legs
silken retreat
median stripe
velvety hairs
Cruciform pattern
Carapace stripe
Translucent joints
Dark folium
Leg spines
Grass stems
Posterior chevrons
Shrub understory
Dark margins
Central hub
Pale dorsum
Dark sternum
Low orb-web
Small size
Linear stabilimentum
Greenish legs
Ovoid abdomen
Banded legs
Sunlit clearings
White flanks
Glossy dorsum
Shaded habitat
Forest understory
Dorsal chevrons
White stripe
Small orbweaver
Central hub
Black edging
Green abdomen
Tapered tip
Translucent legs
Leg spines
Pale carapace
Median stripe
Orb web
Low shrubs
Leaf litter
Annulated legs
Tangle canopy
Greenish hue
Ventral spots
Shrub thickets
Amber legs
Horizontal orb
Elongate abdomen
Central hub
Parallel stripes
Black edging
Translucent joints
Fine setae
Understory shade
Ringed legs
Pale carapace
Smooth dorsum
Dome web
Yellow bands
Black mottling
Reddish legs
Head-down
Pitted texture
Spiny abdomen
Black-tipped spines
Posterolateral spines
Widened posterior
Vertical orb
Conical spines
Dark carapace
Shaded woodland
No stabilimentum
Trail-crossing webs
White dorsum
Banded legs
Bristled legs
Understory webs
radiating spokes
rounded profile
black spots
spot rows
dorsal symmetry
forest understory
vertical orb
central hub
bristled legs
knobbed tubercles
dark carapace
posterior humps
short spines
mitered abdomen
trail-crossing webs
chalky texture
black margins
white dorsum
annulated legs
sticky spiral
Red spine tips
Forest understory
Annulated legs
Yellow dorsum
Dappled shade
Triangular profile
Sclerotized abdomen
Sticky spiral
Posterior apex
Glossy carapace
Lateral spines
Orb web
Black dimples
Arrowhead abdomen
Hub-centered
Shrub-level
Dark cephalothorax
Spiny silhouette
leg annulations
scalloped margins
spiny setae
ventral bars
no stabilimentum
orb web
median stripe
banded legs
velvety hairs
arabesque folium
shrub webs
posterior taper
mottled brown
oval abdomen
vertical web
dusky carapace
leaf retreat
pale flanks
mottled abdomen
folium patch
leaf retreat
bristly spines
pale cross
eight eyes
vertical orb
dark carapace
dorsal chevrons
spinneret cluster
head-down
rusty orange
reddish femora
ventral spots
tan brown
silvery setae
annulated legs
black venter
porch corners
white speckles
White speckling
Reddish-brown
Scalloped pattern
Dark venter
Leg spines
Ventral white spots
Glossy cephalothorax
Eight eyes
Hairy legs
Leaflike folium
Orb web
Dew-beaded silk
Brown carapace
Radial spokes
Porch corners
Orange abdomen
Open hub
Mottled tan
Oval abdomen
Shrub anchors
Banded legs
Shoulder tubercles
Setose legs
Orange legs
Velvety abdomen
Ventral spots
Vertical orb
Paired spots
Abdominal chevrons
Eight eyes
Sticky spiral
No stabilimentum
Scalloped margins
Median band
Banded legs
Glossy carapace
Black venter
Dorsal folium
Spiny legs
Radiating spokes
tibial brushes
orb web
giant female
hub offset
barrier lines
golden silk
forest understory
slender legs
banded joints
spinneret cluster
red venter
white speckles
yellow bands
yellow spots
glossy legs
tiny male
elongate abdomen
leg spines
hairy carapace
head down
signal thread
pale flecks
stout femora
nocturnal orb
lateral spots
mottled dorsum
fence corners
dark carapace
matte texture
spiny tibiae
crevice hiding
oval abdomen
dense radii
under-bark retreat
walnut-brown
folium pattern
flattened body
banded legs
crenulate sides
low silhouette
Black mottling
Transverse body
Dark venter
Short spines
Granular texture
Sclerotized dorsum
Posterior tubercles
Orange patches
Pale dorsal
Central hub
Two spines
Silk tufts
Shrub habitat
Banded legs
Orb web
Triangular spines
Scalloped margin
Disc abdomen
orb web
glossy sheen
red leg joints
elongated abdomen
offset hub
garden shrubs
silvery carapace
long forelegs
golden silk
vertical orb
ventral red
black chelicerae
blue bands
building eaves
leg tufts
yellow abdomen
autumn clusters
banded legs
large span
forest edge
Dwarf males
Dark venter
Elongate abdomen
Silvery carapace
Thick anchors
Tibial tufts
Velvety setae
White speckles
Glossy abdomen
Shrub spans
Orange joints
Barrier web
Long forelegs
Strong radii
Golden silk
Giant orb
Leg banding
Off-center hub
Sunlit edges
Wide spirals
Large female
Tangle barrier
Golden silk
Elongate abdomen
Brush setae
White speckles
Anchor lines
Dark folium
Dark sternum
Sunlit shrubs
Silvery carapace
Tiny male
Yellow joints
Banded legs
Orb web
Long forelegs
Prominent spinnerets
Vertical web
Pale windows
Golden silk
Black legs
Glossy cuticle
Ventral spots
Elongate abdomen
Dorsal fenestrae
Central hub
Shrub gaps
Yellow banding
Extreme dimorphism
Large orbweb
Long forelegs
Sunlit clearings
Tibial tufts
Silver carapace
White setae
Spinneret cluster
Garden fences
Black legs
Elongate abdomen
Communal frames
Silvery carapace
Central hub
Papery egg sac
Orb web
Brush-legged
Glossy abdomen
Yellow banding
Orange joints
Barrier web
Bristly setae
Dorsal folium
Sunlit gaps
Large female
Golden silk
Prey remains
Tiny male
Sparse setae
Dark carapace
Short legs
Maroon dorsum
Garden edges
Hub resting
Broad anterior
Dark margins
Triangular abdomen
Upward facing
Orb web
Low shrubs
Warty tubercles
Posterior point
Velvety cuticle
Woodland understory
Pale triangle
Leg banding
Arrowhead patch
Radiating spokes
frame anchors
spiny legs
signal thread
leaf folium
silvery patches
window corners
ovoid abdomen
frame retreat
brown carapace
annulated legs
crevice hide
hub offset
missing sector
lateral chevrons
urban walls
scalloped edges
mottled beige
asymmetric orb
translucent abdomen
dusky sternum
fine setae
eight eyes
ceiling corners
glossy cuticle
elongate forelegs
dark tarsi
narrow carapace
dark palps
dark chelicerae
pale yellow
oval abdomen
greenish hue
long-legged
faint heartmark
leaf axils
silk sac
ant-mimic silhouette
velvety abdomen
black cephalothorax
cursorial stance
wall surfaces
dorsal white spots
slender build
leaf-litter ground
glossy carapace
orange tibiae
orange forelegs
tree-trunk bark
raised forelegs
small eight eyes
white abdominal bands
dark hindlegs
dark chelicerae
long legs
Dark carapace
Chevron dorsum
Tangle web
Cribellum plate
Hackled band
Grey-brown
Mottled abdomen
Eight eyes
Funnel retreat
Cribellate silk
Crevice corners
Brickwork gaps
Silvery silk
Calamistrum comb
Fuzzy setae
Oval abdomen
Tibial spines
Woolly texture
Window frames
Annulated legs
semicircular eyes
brick-red cephalothorax
long forelegs
under stones
leaf litter
elongate carapace
red legs
glossy carapace
projecting fangs
matte abdomen
small spinnerets
sparse setae
six eyes
bicolored body
oval abdomen
pale abdomen
silk retreat
oversized chelicerae
Bulbous abdomen
Window frame
Unbanded legs
Long clypeus
Slender legs
Forward forelegs
Funnel retreat
Wall crevice
Radiating trip-lines
Cribellate silk
Velvety setae
Dark female
Pale male
Calamistrum comb
Matte cuticle
Tight eye-cluster
Dust-coated web
Woolly web
Elongate carapace
Swollen palps
Gray abdomen
Dark chelicerae
Nocturnal
Visible spinnerets
Reddish legs
Eight eyes
Baseboards
Two eye-rows
Hairy legs
Median stripe
Dark cephalothorax
Leaf litter
Low profile
Velvety hairs
Tapered stripe
Silken retreat
Under bark
Long spinnerets
Glossy carapace
Cravat mark
woodland understory
triangular patch
pale chevrons
clubbed palps
doily sheet
long spinnerets
glossy cephalothorax
silvery spots
tangle canopy
under-bowl posture
dark carapace
faint banding
bowl web
oval abdomen
small size
low shrubs
dew-beaded silk
long legs
Pale margins
Sparse setae
Support threads
Forest understory
White stripe
Short spinnerets
Elongate abdomen
Folium pattern
Slender legs
Posterior patch
Twig anchors
Dome sheet
Dark flanks
Dewy strands
Upside-down
Small size
Annulated legs
Brown carapace
Radiating stripes
Tapered abdomen
Robust chelicerae
Sandy substrate
Dark lateral bands
Mottled grey
Sandy brown
Visible spinnerets
Dry grassland
Bristly legs
High cephalothorax
Chevron blotches
Green eyeshine
Swollen pedipalps
Pale median band
Leg annulations
Long spines
Large median eyes
Cardiac mark
Ground runner
