Damp soil
Lateral stripes
Annulated legs
Radiating spokes
white patches
barrier silk
flattened profile
six spines
glossy black
short legs
star abdomen
orb web
lateral spikes
debris lines
sunlit webs
yellow spots
central hub
sclerotized dorsum
posterior spines
garden fences
anterior spines
low shrubs
Trashline web
Spiny setae
Dark carapace
Shrub habitat
Slender legs
Camouflaged hub
Twig anchors
Median stripe
Debris stabilimentum
Dark flanks
Legs appressed
Posterior point
Linear posture
Silvery mottling
Conical abdomen
Marbled pattern
Vertical orb
Small body
Banded legs
Egg-sacs line
Slender body
Trashline web
Leg spines
Shrub habitat
Low vegetation
Prey husk line
Cryptic alignment
Central hub
Debris line
Mottled brown
Small size
White speckles
Legs appressed
Silvery patches
Spiky dorsum
Conical abdomen
Vertical orb
Posterior tubercle
Banded legs
Egg sac chain
Shrub branches
Spiky egg sacs
Sun-exposed
Abdominal tubercles
Leg spines
Opaque silk
Angular abdomen
Lantern sacs
Dense mesh
Mottled brown-gray
Matte abdomen
White folium
Dome sheet
Upper tangle
Tent web
Horizontal hub
Underside resting
Banded legs
Colonial webs
Citrus orchards
Garden shrubs
Scalloped margins
Capture spiral
Knobbed abdomen
Spiny tibiae
Short spinnerets
Central hub
Dark sternum
Mottled brown
Orb web
Grey morph
Radial spokes
Warty dorsum
Ventral spots
Granular cuticle
Signal line
Folium pattern
Hairy carapace
Banded legs
Edge retreat
Bulbous abdomen
No stabilimentum
Orange tan
Spiny legs
Visible spinnerets
Eight eyes
Leaflike folium
Pale band
Orb web
Radial spokes
Tufted claws
Leaf retreat
Head down
Dark mottling
Sticky spiral
Hairy carapace
Night webbing
Edge habitats
Annulated legs
sunlit edges
short legs
orb web
crablike silhouette
red morph
dark tips
black spots
garden shrubs
yellow morph
six spines
tufted radii
glossy dorsum
head-down
white morph
broad abdomen
lateral spines
flattened body
banded legs
sclerotized scutum
dark venter
orb web
red morph
black spots
hexagonal outline
yellow morph
six spines
glossy scute
sclerotized dorsum
spiny abdomen
broad abdomen
lateral spines
posterior spines
anterior spines
small carapace
white dorsum
flattened body
dorsal dimples
banded legs
shrub understory
